Date(UTC),Pair,Side,Price,Quantity,Amount,Fee,Realized Profit
2021-04-14 08:21:45,ALPHAUSDT,SELL,1.57844000,15.00000000,23.6766000000 USDT,-0.0047353200 USDT,0.0000000000
2021-04-14 08:47:59,IOTAUSDT,BUY,2.12400000,11.70000000,24.8508000000 USDT,-0.0049701600 USDT,0.0000000000
2021-04-14 08:48:23,IOTAUSDT,BUY,2.11450000,11.70000000,24.7396500000 USDT,-0.0049479200 USDT,0.0000000000
2021-04-14 09:12:31,IOTAUSDT,BUY,2.11240000,11.70000000,24.7150800000 USDT,-0.0049430100 USDT,0.0000000000
2021-04-14 09:13:38,IOTAUSDT,BUY,2.09680000,11.80000000,24.7422400000 USDT,-0.0049484400 USDT,0.0000000000
2021-04-14 09:16:07,IOTAUSDT,BUY,2.10060000,11.80000000,24.7870800000 USDT,-0.0049574100 USDT,0.0000000000
2021-04-14 09:17:10,ALPHAUSDT,BUY,1.54928000,110.00000000,170.4208000000 USDT,-0.0681683200 USDT,1.3647300000
2021-04-14 09:21:16,IOTAUSDT,BUY,2.08390000,11.90000000,24.7984100000 USDT,-0.0049596800 USDT,0.0000000000
2021-04-14 09:22:05,IOTAUSDT,BUY,2.07180000,12.00000000,24.8616000000 USDT,-0.0049723100 USDT,0.0000000000
2021-04-14 09:25:23,IOTAUSDT,BUY,2.06020000,12.00000000,24.7224000000 USDT,-0.0049444800 USDT,0.0000000000
2021-04-14 09:32:22,IOTAUSDT,BUY,2.04820000,12.10000000,24.7832200000 USDT,-0.0049566400 USDT,0.0000000000
2021-04-14 10:26:41,ALPHAUSDT,BUY,1.53828000,16.00000000,24.6124800000 USDT,-0.0049224900 USDT,0.0000000000
2021-04-14 10:27:09,ALPHAUSDT,BUY,1.53482000,16.00000000,24.5571200000 USDT,-0.0049114200 USDT,0.0000000000
2021-04-14 11:41:14,ALPHAUSDT,SELL,1.54840000,32.00000000,49.5488000000 USDT,-0.0198195200 USDT,0.3792000000
2021-04-14 12:02:04,IOTAUSDT,BUY,2.10320000,11.80000000,24.8177600000 USDT,-0.0049635500 USDT,0.0000000000
2021-04-14 12:02:59,ALPHAUSDT,BUY,1.54365000,16.00000000,24.6984000000 USDT,-0.0049396800 USDT,0.0000000000
2021-04-14 12:04:10,IOTAUSDT,BUY,2.08980000,11.90000000,24.8686200000 USDT,-0.0049737200 USDT,0.0000000000
2021-04-14 12:14:43,ALPHAUSDT,BUY,1.53611000,16.00000000,24.5777600000 USDT,-0.0049155500 USDT,0.0000000000
2021-04-14 12:18:55,IOTAUSDT,BUY,2.08380000,11.90000000,24.7972200000 USDT,-0.0049594400 USDT,0.0000000000
2021-04-14 12:53:08,ALPHAUSDT,BUY,1.52309000,16.00000000,24.3694400000 USDT,-0.0048738800 USDT,0.0000000000
2021-04-14 12:53:37,ALPHAUSDT,BUY,1.51738000,16.00000000,24.2780800000 USDT,-0.0048556100 USDT,0.0000000000
2021-04-14 13:31:15,ALPHAUSDT,BUY,1.51622000,16.00000000,24.2595200000 USDT,-0.0048519000 USDT,0.0000000000
2021-04-14 13:31:35,IOTAUSDT,BUY,2.06910000,12.00000000,24.8292000000 USDT,-0.0049658400 USDT,0.0000000000
2021-04-14 13:41:26,IOTAUSDT,BUY,2.05960000,12.10000000,24.9211600000 USDT,-0.0049842300 USDT,0.0000000000
2021-04-14 13:55:43,IOTAUSDT,BUY,2.05190000,12.10000000,24.8279900000 USDT,-0.0049655900 USDT,0.0000000000
2021-04-14 13:56:05,ALPHAUSDT,BUY,1.50916000,16.00000000,24.1465600000 USDT,-0.0048293100 USDT,0.0000000000
2021-04-14 13:57:01,ALPHAUSDT,BUY,1.49688000,16.00000000,23.9500800000 USDT,-0.0047900100 USDT,0.0000000000
2021-04-14 13:57:12,ALPHAUSDT,BUY,1.47086000,16.00000000,23.5337600000 USDT,-0.0047067500 USDT,0.0000000000
2021-04-14 14:01:11,ALPHAUSDT,BUY,1.47595000,16.00000000,23.6152000000 USDT,-0.0047230400 USDT,0.0000000000
2021-04-14 14:01:36,ALPHAUSDT,BUY,1.46527000,16.00000000,23.4443200000 USDT,-0.0046888600 USDT,0.0000000000
2021-04-14 14:01:36,ALPHAUSDT,BUY,1.46910000,16.00000000,23.5056000000 USDT,-0.0047011100 USDT,0.0000000000
2021-04-14 14:02:02,IOTAUSDT,BUY,2.04540000,12.10000000,24.7493400000 USDT,-0.0049498600 USDT,0.0000000000
2021-04-14 14:06:29,ALPHAUSDT,BUY,1.46431000,10.00000000,14.6431000000 USDT,-0.0029286200 USDT,0.0000000000
2021-04-14 14:06:29,IOTAUSDT,BUY,2.03790000,12.20000000,24.8623800000 USDT,-0.0049724700 USDT,0.0000000000
2021-04-14 14:06:30,ALPHAUSDT,BUY,1.46431000,7.00000000,10.2501700000 USDT,-0.0020500300 USDT,0.0000000000
2021-04-14 14:07:03,ALPHAUSDT,BUY,1.45603000,17.00000000,24.7525100000 USDT,-0.0049505000 USDT,0.0000000000
2021-04-14 14:09:43,ALPHAUSDT,BUY,1.44975000,17.00000000,24.6457500000 USDT,-0.0049291500 USDT,0.0000000000
2021-04-14 14:11:20,IOTAUSDT,BUY,2.02350000,12.30000000,24.8890500000 USDT,-0.0049778100 USDT,0.0000000000
2021-04-14 14:11:56,IOTAUSDT,BUY,2.01410000,12.30000000,24.7734300000 USDT,-0.0049546800 USDT,0.0000000000
2021-04-14 14:12:01,ALPHAUSDT,BUY,1.44344000,17.00000000,24.5384800000 USDT,-0.0049076900 USDT,0.0000000000
2021-04-14 14:12:08,ALPHAUSDT,BUY,1.43963000,17.00000000,24.4737100000 USDT,-0.0048947400 USDT,0.0000000000
2021-04-14 14:14:04,IOTAUSDT,BUY,2.00470000,12.40000000,24.8582800000 USDT,-0.0049716500 USDT,0.0000000000
2021-04-14 14:14:06,ALPHAUSDT,BUY,1.42882000,17.00000000,24.2899400000 USDT,-0.0048579800 USDT,0.0000000000
2021-04-14 14:14:38,ALPHAUSDT,BUY,1.41382000,17.00000000,24.0349400000 USDT,-0.0048069800 USDT,0.0000000000
2021-04-14 14:14:41,IOTAUSDT,BUY,1.99250000,12.40000000,24.7070000000 USDT,-0.0049414000 USDT,0.0000000000
2021-04-14 14:15:07,ALPHAUSDT,BUY,1.40311000,17.00000000,23.8528700000 USDT,-0.0047705700 USDT,0.0000000000
2021-04-14 14:15:12,IOTAUSDT,BUY,1.98300000,12.50000000,24.7875000000 USDT,-0.0049575000 USDT,0.0000000000
2021-04-14 18:00:57,ALPHAUSDT,BUY,1.46199000,17.00000000,24.8538300000 USDT,-0.0049707600 USDT,0.0000000000
2021-04-14 18:09:11,IOTAUSDT,BUY,2.03020000,12.20000000,24.7684400000 USDT,-0.0049536800 USDT,0.0000000000
2021-04-14 18:38:35,ALPHAUSDT,SELL,1.51170000,329.00000000,497.3493000000 USDT,-0.1989397200 USDT,12.6352800000
2021-04-14 19:55:21,ALPHAUSDT,SELL,1.49497000,16.00000000,23.9195200000 USDT,-0.0047839000 USDT,0.0000000000
2021-04-14 19:59:51,ALPHAUSDT,SELL,1.50403000,7.00000000,10.5282100000 USDT,-0.0021056400 USDT,0.0000000000
2021-04-14 20:08:25,ALPHAUSDT,SELL,1.50403000,9.00000000,13.5362700000 USDT,-0.0027072500 USDT,0.0000000000
2021-04-14 20:26:50,ALPHAUSDT,SELL,1.52887000,16.00000000,24.4619200000 USDT,-0.0048923800 USDT,0.0000000000
2021-04-14 20:26:55,ALPHAUSDT,SELL,1.53490000,16.00000000,24.5584000000 USDT,-0.0049116800 USDT,0.0000000000
2021-04-14 20:42:37,IOTAUSDT,SELL,2.08820000,32.70000000,68.2841400000 USDT,-0.0273136500 USDT,0.3868903600
2021-04-14 20:42:37,IOTAUSDT,SELL,2.08840000,69.90000000,145.9791600000 USDT,-0.0583916600 USDT,0.8410025200
2021-04-14 20:42:37,IOTAUSDT,SELL,2.08830000,57.60000000,120.2860800000 USDT,-0.0481144300 USDT,0.6872549500
2021-04-14 20:42:37,IOTAUSDT,SELL,2.08800000,174.30000000,363.9384000000 USDT,-0.1455753500 USDT,2.0273721400
2021-04-14 20:46:05,ALPHAUSDT,SELL,1.53943000,16.00000000,24.6308800000 USDT,-0.0049261700 USDT,0.0000000000
2021-04-14 21:18:17,IOTAUSDT,SELL,2.10720000,11.80000000,24.8649600000 USDT,-0.0049729900 USDT,0.0000000000
2021-04-14 22:21:10,ALPHAUSDT,SELL,1.55739000,16.00000000,24.9182400000 USDT,-0.0049836400 USDT,0.0000000000
2021-04-14 22:25:21,ALPHAUSDT,SELL,1.56174000,16.00000000,24.9878400000 USDT,-0.0049975600 USDT,0.0000000000
2021-04-14 22:26:59,IOTAUSDT,BUY,2.09660000,11.80000000,24.7398800000 USDT,-0.0098959500 USDT,0.1250800000
2021-04-14 22:33:53,ALPHAUSDT,SELL,1.57643000,15.00000000,23.6464500000 USDT,-0.0047292900 USDT,0.0000000000
2021-04-14 22:35:09,ALPHAUSDT,SELL,1.58389000,15.00000000,23.7583500000 USDT,-0.0047516700 USDT,0.0000000000
2021-04-14 22:40:28,ALPHAUSDT,SELL,1.59066000,15.00000000,23.8599000000 USDT,-0.0047719800 USDT,0.0000000000
2021-04-14 23:05:35,ALPHAUSDT,SELL,1.60036000,15.00000000,24.0054000000 USDT,-0.0048010800 USDT,0.0000000000
2021-04-14 23:10:12,IOTAUSDT,SELL,2.11680000,11.80000000,24.9782400000 USDT,-0.0049956400 USDT,0.0000000000
2021-04-14 23:11:30,IOTAUSDT,SELL,2.11990000,11.80000000,25.0148200000 USDT,-0.0050029600 USDT,0.0000000000
2021-04-14 23:31:30,IOTAUSDT,SELL,2.12700000,11.70000000,24.8859000000 USDT,-0.0049771800 USDT,0.0000000000
2021-04-14 23:47:10,ALPHAUSDT,SELL,1.62584000,15.00000000,24.3876000000 USDT,-0.0048775200 USDT,0.0000000000
2021-04-15 00:11:45,IOTAUSDT,BUY,2.11050000,35.30000000,74.5006500000 USDT,-0.0298002600 USDT,0.3783099900
2021-04-15 00:12:49,ALPHAUSDT,SELL,1.64028000,15.00000000,24.6042000000 USDT,-0.0049208400 USDT,0.0000000000
2021-04-15 02:20:11,IOTAUSDT,SELL,2.12610000,11.70000000,24.8753700000 USDT,-0.0049750700 USDT,0.0000000000
2021-04-15 04:03:04,IOTAUSDT,SELL,2.13920000,11.70000000,25.0286400000 USDT,-0.0050057200 USDT,0.0000000000
2021-04-15 04:48:07,IOTAUSDT,BUY,2.12550000,23.40000000,49.7367000000 USDT,-0.0198946800 USDT,0.1673100000
2021-04-15 05:03:43,IOTAUSDT,SELL,2.12770000,11.70000000,24.8940900000 USDT,-0.0049788100 USDT,0.0000000000
2021-04-15 05:55:14,IOTAUSDT,SELL,2.13040000,11.70000000,24.9256800000 USDT,-0.0049851300 USDT,0.0000000000
2021-04-15 05:59:50,IOTAUSDT,SELL,2.13280000,11.70000000,24.9537600000 USDT,-0.0049907500 USDT,0.0000000000
2021-04-15 06:08:22,IOTAUSDT,SELL,2.13880000,11.70000000,25.0239600000 USDT,-0.0050047900 USDT,0.0000000000
2021-04-15 06:10:14,IOTAUSDT,SELL,2.14360000,11.60000000,24.8657600000 USDT,-0.0049731500 USDT,0.0000000000
2021-04-15 07:13:21,IOTAUSDT,SELL,2.14960000,11.60000000,24.9353600000 USDT,-0.0049870700 USDT,0.0000000000
2021-04-15 09:57:43,IOTAUSDT,BUY,2.11920000,5.10000000,10.8079200000 USDT,-0.0043231600 USDT,0.0914073000
2021-04-15 09:57:43,IOTAUSDT,BUY,2.11930000,64.90000000,137.5425700000 USDT,-0.0550170200 USDT,1.1567127000
2021-04-15 11:17:23,IOTAUSDT,SELL,2.09070000,11.90000000,24.8793300000 USDT,-0.0049758600 USDT,0.0000000000
2021-04-15 12:58:13,IOTAUSDT,SELL,2.11330000,11.80000000,24.9369400000 USDT,-0.0049873800 USDT,0.0000000000
2021-04-15 12:58:43,IOTAUSDT,SELL,2.11560000,11.80000000,24.9640800000 USDT,-0.0049928100 USDT,0.0000000000
2021-04-15 14:45:59,IOTAUSDT,SELL,2.12410000,11.70000000,24.8519700000 USDT,-0.0049703900 USDT,0.0000000000
2021-04-15 16:16:31,IOTAUSDT,SELL,2.15890000,11.60000000,25.0432400000 USDT,-0.0050086400 USDT,0.0000000000
2021-04-15 17:31:51,IOTAUSDT,SELL,2.17270000,11.50000000,24.9860500000 USDT,-0.0049972100 USDT,0.0000000000
2021-04-15 17:32:36,IOTAUSDT,SELL,2.17820000,11.50000000,25.0493000000 USDT,-0.0050098500 USDT,0.0000000000
2021-04-15 18:24:59,IOTAUSDT,SELL,2.18960000,11.40000000,24.9614400000 USDT,-0.0049922800 USDT,0.0000000000
2021-04-15 22:24:11,IOTAUSDT,SELL,2.20940000,11.30000000,24.9662200000 USDT,-0.0049932400 USDT,0.0000000000
2021-04-16 00:08:40,IOTAUSDT,SELL,2.21340000,11.30000000,25.0114200000 USDT,-0.0050022800 USDT,0.0000000000
2021-04-16 00:09:10,IOTAUSDT,SELL,2.22020000,11.20000000,24.8662400000 USDT,-0.0049732400 USDT,0.0000000000
2021-04-16 00:15:49,IOTAUSDT,SELL,2.23080000,11.20000000,24.9849600000 USDT,-0.0049969900 USDT,0.0000000000
2021-04-16 00:28:10,IOTAUSDT,SELL,2.23970000,11.10000000,24.8606700000 USDT,-0.0049721300 USDT,0.0000000000
2021-04-16 05:01:52,ALPHAUSDT,BUY,1.55710000,37.00000000,57.6127000000 USDT,-0.0230450800 USDT,0.2324369300
2021-04-16 05:01:52,ALPHAUSDT,BUY,1.55763000,12.00000000,18.6915600000 USDT,-0.0074766200 USDT,0.0690249500
2021-04-16 05:01:52,ALPHAUSDT,BUY,1.55764000,153.00000000,238.3189200000 USDT,-0.0953275600 USDT,0.8785381100
2021-04-16 05:28:13,ALPHAUSDT,BUY,1.58194000,15.00000000,23.7291000000 USDT,-0.0047458200 USDT,0.0000000000
2021-04-16 05:32:44,ALPHAUSDT,BUY,1.57727000,15.00000000,23.6590500000 USDT,-0.0047318100 USDT,0.0000000000
2021-04-16 06:05:07,ALPHAUSDT,BUY,1.54617000,16.00000000,24.7387200000 USDT,-0.0049477400 USDT,0.0000000000
2021-04-16 09:10:13,ALPHAUSDT,BUY,1.55882000,15.00000000,23.3823000000 USDT,-0.0046764600 USDT,0.0000000000
2021-04-16 09:15:18,ALPHAUSDT,BUY,1.55013000,16.00000000,24.8020800000 USDT,-0.0049604100 USDT,0.0000000000
2021-04-16 10:59:06,ALPHAUSDT,BUY,1.53466000,16.00000000,24.5545600000 USDT,-0.0049109100 USDT,0.0000000000
2021-04-16 11:17:02,ALPHAUSDT,BUY,1.53262000,16.00000000,24.5219200000 USDT,-0.0049043800 USDT,0.0000000000
2021-04-16 13:05:22,ALPHAUSDT,BUY,1.54917000,16.00000000,24.7867200000 USDT,-0.0049573400 USDT,0.0000000000
2021-04-16 13:39:54,ALPHAUSDT,BUY,1.54645000,16.00000000,24.7432000000 USDT,-0.0049486400 USDT,0.0000000000
2021-04-16 13:44:45,ALPHAUSDT,BUY,1.52996000,16.00000000,24.4793600000 USDT,-0.0048958700 USDT,0.0000000000
2021-04-16 13:50:05,ALPHAUSDT,BUY,1.51678000,16.00000000,24.2684800000 USDT,-0.0048536900 USDT,0.0000000000
2021-04-16 13:51:13,ALPHAUSDT,BUY,1.51039000,16.00000000,24.1662400000 USDT,-0.0048332400 USDT,0.0000000000
2021-04-16 15:27:30,ALPHAUSDT,SELL,1.57366000,189.00000000,297.4217400000 USDT,-0.1189686900 USDT,5.5900100000
2021-04-16 15:32:25,ALPHAUSDT,SELL,1.58062000,15.00000000,23.7093000000 USDT,-0.0047418500 USDT,0.0000000000
2021-04-16 15:47:11,ALPHAUSDT,SELL,1.58835000,15.00000000,23.8252500000 USDT,-0.0047650500 USDT,0.0000000000
2021-04-16 17:01:03,ALPHAUSDT,SELL,1.61336000,15.00000000,24.2004000000 USDT,-0.0048400800 USDT,0.0000000000
2021-04-16 17:27:37,ALPHAUSDT,SELL,1.61803000,15.00000000,24.2704500000 USDT,-0.0048540900 USDT,0.0000000000
2021-04-16 21:34:21,ALPHAUSDT,SELL,1.61621000,15.00000000,24.2431500000 USDT,-0.0048486200 USDT,0.0000000000
2021-04-16 21:55:44,ALPHAUSDT,SELL,1.62369000,15.00000000,24.3553500000 USDT,-0.0048710700 USDT,0.0000000000
2021-04-17 00:09:49,ALPHAUSDT,SELL,1.66119000,15.00000000,24.9178500000 USDT,-0.0049835600 USDT,0.0000000000
2021-04-17 01:16:25,ALPHAUSDT,SELL,1.67557000,15.00000000,25.1335500000 USDT,-0.0050267100 USDT,0.0000000000
2021-04-17 03:49:27,ALPHAUSDT,SELL,1.70285000,15.00000000,25.5427500000 USDT,-0.0051085500 USDT,0.0000000000
2021-04-17 04:11:33,ALPHAUSDT,SELL,1.70560000,15.00000000,25.5840000000 USDT,-0.0051168000 USDT,0.0000000000
2021-04-17 06:32:35,ALPHAUSDT,SELL,1.72639000,15.00000000,25.8958500000 USDT,-0.0051791700 USDT,0.0000000000
2021-04-17 08:11:06,ALPHAUSDT,SELL,1.72671000,15.00000000,25.9006500000 USDT,-0.0051801300 USDT,0.0000000000
2021-04-17 10:40:30,ALPHAUSDT,BUY,1.75754000,3.00000000,5.2726200000 USDT,-0.0021090400 USDT,-0.3129774900
2021-04-17 10:40:30,ALPHAUSDT,BUY,1.75748000,23.00000000,40.4220400000 USDT,-0.0161688100 USDT,-2.3981141600
2021-04-17 10:40:30,ALPHAUSDT,BUY,1.75757000,23.00000000,40.4241100000 USDT,-0.0161696400 USDT,-2.4001841600
2021-04-17 10:40:30,ALPHAUSDT,BUY,1.75757000,85.00000000,149.3934500000 USDT,-0.0597573800 USDT,-8.8702458300
2021-04-17 10:40:30,ALPHAUSDT,BUY,1.75757000,39.00000000,68.5452300000 USDT,-0.0274180900 USDT,-4.0698774900
2021-04-17 10:40:30,ALPHAUSDT,BUY,1.75756000,7.00000000,12.3029200000 USDT,-0.0049211600 USDT,-0.7304208300
2021-04-17 11:39:11,ALPHAUSDT,BUY,1.68667000,14.00000000,23.6133800000 USDT,-0.0047226700 USDT,0.0000000000
2021-04-17 12:01:02,ALPHAUSDT,BUY,1.67952000,14.00000000,23.5132800000 USDT,-0.0047026500 USDT,0.0000000000
2021-04-17 15:03:55,ALPHAUSDT,BUY,1.70296000,14.00000000,23.8414400000 USDT,-0.0047682800 USDT,0.0000000000
2021-04-17 15:04:51,ALPHAUSDT,BUY,1.70128000,14.00000000,23.8179200000 USDT,-0.0047635800 USDT,0.0000000000
2021-04-17 15:13:37,ALPHAUSDT,SELL,1.74021000,9.00000000,15.6618900000 USDT,-0.0062647500 USDT,0.4284225000
2021-04-17 15:13:37,ALPHAUSDT,SELL,1.73978000,9.00000000,15.6580200000 USDT,-0.0062632000 USDT,0.4245525000
2021-04-17 15:13:37,ALPHAUSDT,SELL,1.74000000,7.00000000,12.1800000000 USDT,-0.0048719900 USDT,0.3317475000
2021-04-17 15:13:37,ALPHAUSDT,SELL,1.73964000,31.00000000,53.9288400000 USDT,-0.0215715300 USDT,1.4580075000
2021-04-17 15:34:21,ALPHAUSDT,BUY,1.68726000,14.00000000,23.6216400000 USDT,-0.0047243200 USDT,0.0000000000
2021-04-17 15:42:40,ALPHAUSDT,BUY,1.68131000,14.00000000,23.5383400000 USDT,-0.0047076600 USDT,0.0000000000
2021-04-17 17:50:03,ALPHAUSDT,BUY,1.65957000,15.00000000,24.8935500000 USDT,-0.0049787100 USDT,0.0000000000
2021-04-17 17:51:27,ALPHAUSDT,BUY,1.65660000,15.00000000,24.8490000000 USDT,-0.0049698000 USDT,0.0000000000
2021-04-17 17:55:16,ALPHAUSDT,BUY,1.65193000,15.00000000,24.7789500000 USDT,-0.0049557900 USDT,0.0000000000
2021-04-17 19:13:59,ALPHAUSDT,SELL,1.69054000,68.00000000,114.9567200000 USDT,-0.0459826800 USDT,1.6095879400
2021-04-17 19:13:59,ALPHAUSDT,SELL,1.69045000,5.00000000,8.4522500000 USDT,-0.0033809000 USDT,0.1179020500
2021-04-17 21:52:32,ALPHAUSDT,BUY,1.72562000,14.00000000,24.1586800000 USDT,-0.0048317300 USDT,0.0000000000
2021-04-17 22:55:15,ALPHAUSDT,SELL,1.74697000,14.00000000,24.4575800000 USDT,-0.0097830300 USDT,0.2989000000
2021-04-17 23:17:57,ALPHAUSDT,BUY,1.72823000,14.00000000,24.1952200000 USDT,-0.0048390400 USDT,0.0000000000
2021-04-17 23:38:31,ALPHAUSDT,BUY,1.69947000,14.00000000,23.7925800000 USDT,-0.0047585100 USDT,0.0000000000
2021-04-17 23:41:33,ALPHAUSDT,BUY,1.69631000,14.00000000,23.7483400000 USDT,-0.0047496600 USDT,0.0000000000
2021-04-17 23:44:47,ALPHAUSDT,BUY,1.68767000,14.00000000,23.6273800000 USDT,-0.0047254700 USDT,0.0000000000
2021-04-17 23:54:13,ALPHAUSDT,BUY,1.68426000,14.00000000,23.5796400000 USDT,-0.0047159200 USDT,0.0000000000
2021-04-18 00:35:40,ALPHAUSDT,SELL,1.72636000,70.00000000,120.8452000000 USDT,-0.0483380800 USDT,1.9020400000
2021-04-18 01:00:03,ALPHAUSDT,BUY,1.71180000,14.00000000,23.9652000000 USDT,-0.0047930400 USDT,0.0000000000
2021-04-18 03:11:00,ALPHAUSDT,BUY,1.58547000,15.00000000,23.7820500000 USDT,-0.0047564100 USDT,0.0000000000
2021-04-18 03:15:59,ALPHAUSDT,BUY,1.57085000,15.00000000,23.5627500000 USDT,-0.0047125500 USDT,0.0000000000
2021-04-18 03:17:06,ALPHAUSDT,BUY,1.55779000,15.00000000,23.3668500000 USDT,-0.0046733600 USDT,0.0000000000
2021-04-18 03:17:23,ALPHAUSDT,BUY,1.55148000,15.00000000,23.2722000000 USDT,-0.0046544400 USDT,0.0000000000
2021-04-18 03:18:50,ALPHAUSDT,BUY,1.52734000,16.00000000,24.4374400000 USDT,-0.0048874800 USDT,0.0000000000
2021-04-18 03:20:51,ALPHAUSDT,BUY,1.46701000,16.00000000,23.4721600000 USDT,-0.0046944300 USDT,0.0000000000
2021-04-18 03:21:21,ALPHAUSDT,BUY,1.44442000,17.00000000,24.5551400000 USDT,-0.0049110200 USDT,0.0000000000
2021-04-18 03:23:54,ALPHAUSDT,SELL,1.34097000,106.00000000,142.1428200000 USDT,-0.0568571200 USDT,-21.9536169100
2021-04-18 03:26:21,IOTAUSDT,BUY,1.96070000,149.30000000,292.7325100000 USDT,-0.1170930000 USDT,31.6293500000
2021-04-18 03:26:44,ALPHAUSDT,BUY,1.29137000,19.00000000,24.5360300000 USDT,-0.0049072000 USDT,0.0000000000
2021-04-18 03:33:42,ALPHAUSDT,BUY,1.35023000,18.00000000,24.3041400000 USDT,-0.0048608200 USDT,0.0000000000
2021-04-18 03:34:00,ALPHAUSDT,BUY,1.28082000,19.00000000,24.3355800000 USDT,-0.0048671100 USDT,0.0000000000
2021-04-18 03:34:55,ALPHAUSDT,BUY,1.26314000,20.00000000,25.2628000000 USDT,-0.0050525600 USDT,0.0000000000
2021-04-18 03:35:13,ALPHAUSDT,BUY,1.20530000,21.00000000,25.3113000000 USDT,-0.0050622600 USDT,0.0000000000
2021-04-18 03:35:30,ALPHAUSDT,BUY,1.18743000,21.00000000,24.9360300000 USDT,-0.0049872000 USDT,0.0000000000
2021-04-18 03:35:48,ALPHAUSDT,BUY,1.17985000,10.00000000,11.7985000000 USDT,-0.0047194000 USDT,0.0000000000
2021-04-18 03:35:48,ALPHAUSDT,BUY,1.18255000,11.00000000,13.0080500000 USDT,-0.0052032200 USDT,0.0000000000
2021-04-18 03:36:08,ALPHAUSDT,BUY,1.18071000,21.00000000,24.7949100000 USDT,-0.0049589800 USDT,0.0000000000
2021-04-18 03:36:46,ALPHAUSDT,BUY,1.16378000,21.00000000,24.4393800000 USDT,-0.0048878700 USDT,0.0000000000
2021-04-18 03:37:13,ALPHAUSDT,BUY,1.12894000,17.00000000,19.1919800000 USDT,-0.0076767900 USDT,0.0000000000
2021-04-18 03:37:13,ALPHAUSDT,BUY,1.12747000,5.00000000,5.6373500000 USDT,-0.0022549400 USDT,0.0000000000
